time,gFx,gFy,gFz
9.654,0.1373,-0.0039,0.9928
9.671,0.1844,-0.0235,0.9771
9.691,0.1334,0,0.9928
9.743,0.1491,0,0.9928
9.745,0.1844,-0.0078,0.9771
9.747,0.1491,-0.0157,1.0007
9.762,0.1727,-0.0118,0.985
9.781,0.1295,-0.0039,1.0007
9.792,0.1727,-0.0039,1.0007
9.812,0.1805,-0.0078,0.9811
9.858,0.1334,-0.0235,1.0007
9.86,0.1687,0.0039,0.985
9.864,0.1217,-0.0039,0.9889
9.881,0.2001,-0.0196,0.9889
9.901,0.153,-0.0078,0.985
9.962,0.1256,-0.0118,1.0085
9.964,0.1687,-0.0078,0.9771
9.966,0.1373,-0.0039,0.9889
9.976,0.1844,-0.0039,0.9771
9.992,0.1413,0,1.0007
10.002,0.1177,-0.0157,0.9968
10.057,0.1844,0.0039,0.9693
10.062,0.157,-0.0118,0.9928
10.065,0.1452,-0.0157,0.9811
10.083,0.1334,-0.0039,0.9968
10.092,0.1727,-0.0039,0.9771
10.149,0.1727,0,0.985
10.152,0.1452,0,1.0046
10.155,0.153,-0.0039,0.985
10.163,0.1373,-0.0118,0.9968
10.181,0.1766,-0.0157,0.9889
10.214,0.1609,-0.0196,0.985
10.217,0.1177,-0.0078,1.0007
10.235,0.1923,-0.0118,0.985
10.288,0.1295,0.0078,0.9968
10.291,0.2237,-0.0118,0.9811
10.293,0.1295,-0.0078,1.0007
10.301,0.1452,-0.0039,0.9693
10.382,0.1844,-0.0039,0.9889
10.386,0.1491,-0.0078,1.0046
10.387,0.2001,-0.0078,0.9732
10.389,0.0981,-0.0118,0.9968
10.392,0.1884,-0.0039,0.9654
10.413,0.1413,-0.0039,1.0007
10.415,0.153,0.0039,1.0007
10.554,0.1687,-0.0039,0.9732
10.556,0.1687,-0.0078,0.9811
10.558,0.1138,-0.0039,1.0046
10.563,0.2119,-0.0039,0.9614
10.565,0.1295,0,0.9928
10.567,0.1805,-0.0078,0.985
10.571,0.1295,-0.0039,0.9889
10.573,0.157,-0.0078,0.9968
10.576,0.2041,-0.0078,0.9693
10.59,0.1138,-0.0078,1.0203
10.601,0.1884,-0.0039,0.9771
10.703,0.1138,-0.0078,0.9968
10.705,0.2001,-0.0078,0.9928
10.707,0.157,-0.0157,0.985
10.712,0.1177,-0.0078,1.0164
10.715,0.1766,-0.0078,0.9732
10.717,0.1373,-0.0039,1.0046
10.733,0.1884,-0.0314,0.9889
10.748,0.1177,0,0.9928
10.861,0.1413,-0.0078,0.9928
10.863,0.1844,0.0039,0.9771
10.865,0.1609,-0.0039,1.0085
10.867,0.1687,-0.0078,0.9811
10.871,0.1099,0.0078,0.9811
10.873,0.1766,-0.0078,0.9889
10.877,0.1609,0.0039,0.9889
10.892,0.1609,-0.0235,1.0007
10.894,0.1452,0.0078,0.9889
10.951,0.1413,0,1.0046
10.954,0.1766,-0.0118,0.9928
10.956,0.1805,-0.0039,0.985
10.962,0.1138,-0.0078,1.0164
11.009,0.1884,-0.0039,0.9811
11.011,0.1413,0.0039,1.0085
11.021,0.1962,-0.0118,0.9811
11.033,0.1491,-0.0118,1.0046
11.082,0.1295,-0.0078,1.0007
11.086,0.2001,-0.0039,0.9771
11.102,0.1334,-0.0078,0.9928
11.105,0.1962,-0.0118,0.9732
11.123,0.1256,-0.0118,0.9968
11.188,0.1687,-0.0078,0.9693
11.192,0.1923,-0.0118,0.9811
11.194,0.1373,-0.0157,0.9889
11.196,0.1884,-0.0118,0.9693
11.211,0.106,0,0.9928
11.231,0.2237,-0.0157,0.9732
11.278,0.1452,-0.0078,0.9889
11.281,0.1491,-0.0039,0.9811
11.292,0.1805,-0.0039,0.9771
11.301,0.1177,0,0.9928
11.311,0.2276,-0.0118,0.9575
11.374,0.102,0,1.0007
11.38,0.1884,0,0.9693
11.383,0.1334,0.0039,0.9928
11.385,0.1727,0.0078,0.985
11.402,0.1884,0,0.9693
11.421,0.0981,0,1.0085
11.441,0.2041,0,0.9693
11.497,0.1177,-0.0078,0.9928
11.5,0.2119,-0.0157,0.9771
11.502,0.1256,-0.0039,1.0046
11.522,0.1452,-0.0078,1.0007
11.526,0.1805,0,0.9732
11.541,0.1334,-0.0078,1.0007
11.606,0.1884,0,0.9928
11.622,0.102,0,1.0046
11.624,0.1766,-0.0078,0.985
11.626,0.1648,-0.0157,0.9889
11.647,0.1648,-0.0196,1.0046
11.657,0.1452,-0.0078,0.9968
11.669,0.1256,-0.0078,0.9771
11.69,0.1844,-0.0118,0.9928
11.702,0.1648,-0.0039,0.985
11.781,0.1217,-0.0039,0.9928
11.783,0.1727,0.0118,0.9654
11.786,0.1452,-0.0157,0.9889
11.788,0.1884,-0.0078,0.9771
11.797,0.1373,-0.0039,1.0046
11.805,0.1334,-0.0039,1.0007
11.821,0.1844,-0.0039,0.9732
11.879,0.153,-0.0078,1.0007
11.882,0.1727,-0.0078,0.9771
11.884,0.1413,0.0039,0.9968
11.892,0.1491,0.0039,0.9928
11.946,0.1884,-0.0039,0.9811
11.949,0.1491,-0.0157,1.0085
11.951,0.153,0.0039,0.9732
11.973,0.1177,0,1.0007
11.98,0.1923,0,0.9811
12.004,0.1805,-0.0118,0.985
12.016,0.1099,-0.0157,1.0007
12.031,0.1766,-0.0078,0.985
12.085,0.1177,-0.0118,0.9928
12.088,0.2276,-0.0235,0.9654
12.092,0.1099,0,1.0085
