tiempo, axy, ayz, azx
8.45,184.558,198.487,199.458
8.46,183.682,199.393,200.536
8.47,183.848,198.645,198.645
8.48,184.738,203.531,201.441
8.49,185.48,204.963,203.187
8.5,184.013,200.937,199.786
8.51,185.427,203.418,202.271
8.52,184.558,196.496,197.459
8.53,185.267,199.251,200.562
8.54,185.648,199.822,200.478
8.55,184.013,197.337,198.502
8.56,184.716,201.42,200.918
8.57,185.423,200.81,200.661
8.58,186.679,204.506,203.507
8.59,185.972,198.489,199.45
8.6,185.823,197.692,199.825
8.61,184.805,197.443,200.22
8.62,183.175,197.412,200.666
8.63,183.473,199.36,201.008
8.64,184.556,203.485,204.125
8.65,184.013,199.266,200.42
8.66,185.648,200.847,200.49
8.67,184.556,203.016,203.658
8.68,184.534,202.291,202.955
8.69,185.949,200.642,201.316
8.7,187.233,200.733,202.553
