Archivo,Datos
48,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,"
49,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,"
50,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
51,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
52,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
53,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (2)n1.5,1.5,1 (1)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
54,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
55,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,n1.5,1.5,1 (1)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,1 (2)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
56,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
57,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
58,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (1)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
59,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (3)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (2)n2.5,0.5,n3.5,0.5,1 (1)"
60,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
61,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
62,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (1)n3.5,1.5,n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
63,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
64,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
65,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
66,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,"
67,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,1 (1)"
68,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (2)n1.5,1.5,1 (3)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,n1.5,0.5,1 (2)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
69,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (2)n1.5,1.5,1 (1)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
70,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
71,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,"
