tiempo, vx, vy, vz
2.67306,4.86936,-2.28294,-0.525009
2.67906,4.884,-2.28294,-0.536605
2.68306,4.89221,-2.2814,-0.544329
2.68906,4.90455,-2.27678,-0.537452
2.69306,4.91122,-2.2737,-0.534412
2.69906,4.91893,-2.2714,-0.539082
2.70306,4.92407,-2.26986,-0.543731
2.70906,4.93179,-2.26755,-0.541476
2.71306,4.93693,-2.26447,-0.536896
2.71906,4.94464,-2.26216,-0.536949
2.72305,4.95285,-2.26216,-0.535448
2.72906,4.96519,-2.26216,-0.544741
2.73306,4.97495,-2.26062,-0.554017
2.73905,4.98957,-2.26062,-0.556375
2.74306,4.9978,-2.25908,-0.559494
2.74905,5.00782,-2.25678,-0.568774
2.75306,5.01296,-2.25524,-0.567269
2.75906,5.01837,-2.25754,-0.567322
2.76606,5.02467,-2.26024,-0.564692
2.76805,5.02724,-2.26024,-0.565478
2.77606,5.03752,-2.26024,-0.571708
2.77905,5.04137,-2.26024,-0.577486
2.78606,5.05307,-2.26024,-0.582941
2.78906,5.05809,-2.26139,-0.581812
2.79606,5.06977,-2.26408,-0.584566
2.79805,5.07233,-2.26408,-0.587643
2.80406,5.08005,-2.26177,-0.592321
2.80806,5.0852,-2.26177,-0.590816
2.81406,5.09291,-2.25946,-0.579328
2.82106,5.10191,-2.25946,-0.57939
2.82299,5.10439,-2.26095,-0.583118
2.82906,5.11452,-2.26095,-0.587838
2.83306,5.12121,-2.26095,-0.590953
2.83905,5.13121,-2.26325,-0.586397
2.84306,5.13636,-2.26633,-0.584892
2.84906,5.14176,-2.26864,-0.601106
2.85306,5.14537,-2.26864,-0.605761
2.85906,5.15077,-2.26633,-0.591965
2.86306,5.15437,-2.26326,-0.585846
2.86906,5.15978,-2.26326,-0.58359
2.87306,5.16492,-2.26479,-0.585163
2.87906,5.17263,-2.26479,-0.592141
2.88306,5.17777,-2.26326,-0.592176
2.88906,5.18548,-2.26326,-0.587615
2.89306,5.18908,-2.26787,-0.58765
2.89906,5.19679,-2.27018,-0.587703
2.90306,5.20194,-2.27172,-0.590818
2.90906,5.20965,-2.27172,-0.602407
2.91306,5.21478,-2.27018,-0.602442
2.91906,5.2225,-2.26787,-0.595564
2.92305,5.2261,-2.26634,-0.598671
2.92906,5.2315,-2.26634,-0.598724
2.93306,5.23511,-2.26788,-0.595678
2.93906,5.24051,-2.26788,-0.598038
2.94306,5.24412,-2.26942,-0.598073
2.94906,5.24952,-2.26711,-0.588893
2.95306,5.25312,-2.26711,-0.58739
2.95906,5.25852,-2.26711,-0.587443
2.96306,5.26367,-2.26865,-0.587479
2.96906,5.26907,-2.27096,-0.596759
2.97306,5.27421,-2.27096,-0.596794
2.97906,5.28192,-2.27096,-0.594539
2.98306,5.28707,-2.2725,-0.596114
2.98906,5.29478,-2.2748,-0.600784
2.99316,5.29847,-2.27796,-0.60555
2.99906,5.30379,-2.28023,-0.605602
3.00305,5.30738,-2.2787,-0.60104
3.00906,5.3151,-2.27638,-0.594157
3.01406,5.32153,-2.27446,-0.594201
3.01805,5.32666,-2.27446,-0.598844
3.02605,5.33695,-2.27138,-0.611232
3.02905,5.33965,-2.26907,-0.614719
3.03606,5.34865,-2.26368,-0.612086
3.03905,5.3525,-2.26138,-0.610962
3.04606,5.35881,-2.25869,-0.624508
3.04906,5.36151,-2.25638,-0.629154
3.05406,5.36409,-2.25445,-0.634969
3.05806,5.36769,-2.25138,-0.636543
3.06406,5.3754,-2.24907,-0.63198
3.06806,5.38208,-2.24907,-0.632015
3.07406,5.3898,-2.24907,-0.650537
3.07806,5.39647,-2.24753,-0.658265
3.08406,5.4065,-2.24522,-0.656009
3.08806,5.41317,-2.24522,-0.657583
3.09406,5.42089,-2.24291,-0.662255
3.09806,5.42449,-2.24137,-0.663829
3.10406,5.4299,-2.23906,-0.670808
3.10806,5.4335,-2.23753,-0.675459
3.11706,5.44506,-2.23406,-0.658228
3.11905,5.44763,-2.2333,-0.657479
3.12305,5.45277,-2.2333,-0.671367
3.12906,5.46048,-2.23099,-0.678345
3.13305,5.46562,-2.22945,-0.67838
3.13906,5.47103,-2.22483,-0.680746
3.14306,5.47309,-2.22022,-0.679245
3.14906,5.4785,-2.21791,-0.676988
3.15306,5.4821,-2.21637,-0.681638
